Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
Kepler-1475 b,1568.38,8.85 Earths,15.36,2016,0.261 x Jupiter,Neptune-like,Transit,0.373 AU,82.2 days,0
Kepler-1474 b,1180.9,5.31 Earths,15.35,2016,2.16 x Earth,Neptune-like,Transit,0.2108 AU,36.4 days,0
Kepler-1473 b,652.253,1.81 Earths,13.486,2016,1.19 x Earth,Super Earth,Transit,0.116 AU,14.4 days,0
Kepler-1472 b,1479.14,4.27 Earths,14.666,2016,1.9 x Earth,Super Earth,Transit,0.2322 AU,38.1 days,0
Kepler-1471 b,978.678,2.57 Earths,15.421,2016,1.41 x Earth,Super Earth,Transit,0.0453 AU,3.6 days,0
Kepler-1470 b,590.601,1.24 Earths,15.252,2016,,,,,,
Kepler-1469 b,1159.3,8.25 Earths,16.2388,2016,0.25 x Jupiter,Neptune-like,Transit,0.1466 AU,21.9 days,0
Kepler-1468 c,1899.24,1.6 Earths,15.111,2016,1.15 x Earth,Super Earth,Transit,0.0466 AU,3.5 days,0
Kepler-1468 b,1899.24,3.64 Earths,15.111,2016,1.73 x Earth,Super Earth,Transit,0.0817 AU,8.2 days,0
Kepler-1467 b,852.888,10.9 Earths,15.83,2016,0.294 x Jupiter,Neptune-like,Transit,0.2388 AU,47.1 days,0
Kepler-1466 b,631.949,3.02 Earths,14.026,2016,1.55 x Earth,Super Earth,Transit,0.1942 AU,31.2 days,0
Kepler-1465 b,359.497,3.78 Earths,14.724,2016,1.77 x Earth,Super Earth,Transit,0.1939 AU,31.8 days,0
Kepler-1464 c,1151.73,0.972 Earths,14.358,2016,1.0 x Earth,Terrestrial,Transit,0.0548 AU,5.3 days,0
Kepler-1464 b,1151.73,3.39 Earths,14.358,2016,1.66 x Earth,Super Earth,Transit,0.1803 AU,31.8 days,0
Kepler-1463 b,1687.47,4.12 Earths,15.905,2016,1.86 x Earth,Super Earth,Transit,0.1694 AU,25.2 days,0
Kepler-1462 b,1017.82,14 Earths,15.888,2016,0.341 x Jupiter,Neptune-like,Transit,0.3094 AU,65.6 days,0
Kepler-1461 b,679.106,4.78 Earths,15.828,2016,2.03 x Earth,Super Earth,Transit,0.1715 AU,29.3 days,0
Kepler-1460 b,553.218,4.5 Earths,16.166,2016,1.96 x Earth,Super Earth,Transit,0.1614 AU,30 days,0
Kepler-1459 b,455.479,2.42 Earths,14.893,2016,1.36 x Earth,Super Earth,Transit,0.2829 AU,62.9 days,0
