Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
Kepler-1805 b,221.639,3 Earths,15.536,2021,,,,,,
Kepler-1789 b,611.461,8.4 Earths,14.449,2021,,,,,,
Kepler-1781 b,962.63,6.26 Earths,15.713,2021,,,,,,
Kepler-1774 b,816.592,10.2 Earths,14.02,2021,,,,,,
Kepler-1768 b,632.766,5.62 Earths,13.565,2021,,,,,,
Kepler-1751 b,1291.47,3.98 Earths,15.455,2021,,,,,,
Kepler-1727 b,894.187,10.2 Earths,15.751,2021,,,,,,
Kepler-1311 d,866.331,0.212 Jupiters,13.528,2021,,,,,,
Kepler-1073 d,809.897,2.82 Earths,14.749,2021,,,,,,
Kepler-495 c,658.924,1.98 Earths,14.942,2021,,,,,,
Kepler-487 d,872.343,8.12 Earths,14.882,2021,,,,,,
Kepler-418 c,1002.53,23.7 Earths,14.824,2021,,,,,,
Kepler-1964 b,3504.2896826444,3.83 Earths,16.363,2021,,,,,,
Kepler-1951 b,1277.32,6 Earths,14.367,2021,,,,,,
Kepler-1941 b,1494.39,7.51 Earths,14.943,2021,,,,,,
Kepler-1923 b,990.838,4.5 Earths,14.454,2021,,,,,,
Kepler-1918 b,1030.11,5.89 Earths,15.533,2021,,,,,,
Kepler-1916 b,2055.82,7.35 Earths,15.779,2021,,,,,,
Kepler-1913 b,876.3,2.92 Earths,14.814,2021,,,,,,
Kepler-1907 b,292.111,0.589 Earths,13.989,2021,,,,,,
Kepler-1906 b,1360.63,8.13 Earths,15.322,2021,,,,,,
Kepler-1888 b,402.947,2.32 Earths,12.099,2021,,,,,,
Kepler-1833 b,591.602,2.24 Earths,12.645,2021,,,,,,
Kepler-1819 b,1363.19,14.5 Earths,15.489,2021,,,,,,
Kepler-1799 b,2254.69,15.9 Earths,15.99,2021,,,,,,
Kepler-1798 b,395.196,5.94 Earths,16.391,2021,,,,,,
Kepler-1795 b,3232.9575336809,3.4 Earths,16.188,2021,,,,,,
Kepler-1766 b,501.229,5.81 Earths,12.96,2021,,,,,,
Kepler-1757 b,807.308,8.99 Earths,15.817,2021,,,,,,
