Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
TOI-6034 b,,0.798 Jupiters,15.189,2024,1.063 x Jupiter,Gas Giant,Transit,0.02949 AU,2.6 days,0.04
TIC 4672985 b,,12.74 Jupiters,11.501,2024,1.026 x Jupiter,Gas Giant,Transit,0.33 AU,69 days,0.02
OGLE-2017-BLG-0448L b,,15.6 Earths,Unknown,2024,0.364 x Jupiter (estimate),Neptune-like,Microlensing,5.75 AU,19.5 years,
TOI-5218 b,,2.06715 Jupiters,16.044,2024,0.879 x Jupiter,Gas Giant,Transit,0.0469 AU,4.3 days,0.0
TOI-2529 b,,2.34 Jupiters,11.529,2024,1.03 x Jupiter,Gas Giant,Transit,0.327 AU,64.6 days,0.02
TOI-286 c,,3.72 Earths,9.866,2024,1.88 x Earth,Super Earth,Transit,0.213 AU,39.4 days,0.0
TOI-286 b,,4.53 Earths,9.866,2024,1.42 x Earth,Super Earth,Transit,0.0503 AU,4.5 days,0.0
TOI-5616 b,,1.96332 Jupiters,16.74,2024,0.961 x Jupiter,Gas Giant,Transit,0.0272 AU,2 days,0.0
K2-419 A b,,0.617 Jupiters,16.52,2024,0.941 x Jupiter,Gas Giant,Transit,0.1208 AU,20.4 days,0.04
TOI-5634 A b,,1.85005 Jupiters,16.854,2024,0.923 x Jupiter,Gas Giant,Transit,0.0272 AU,2.2 days,0.0
TOI-6255 b,,1.44 Earths,12.747,2024,1.079 x Earth,Super Earth,Transit,Unknown,0.2 days,0.0
HD 118203 c,,11.1 Jupiters,8.05,2024,1.11 x Jupiter (estimate),Gas Giant,Radial Velocity,6.2 AU,13.9 years,0.26
TOI-4379 b,,1.113 Jupiters,12.661,2024,,,,,,
TOI-6029 b,,1.635 Jupiters,12.858,2024,1.284 x Jupiter,Gas Giant,Transit,Unknown,5.8 days,0.09
GJ 238 b,,0.126 Earths,11.62,2024,0.566 x Earth,Terrestrial,Transit,0.02123 AU,1.7 days,
TOI-1408 c,,7.6 Earths,9.270001,2024,2.22 x Earth,Super Earth,Transit Timing Variations,0.03587 AU,2.2 days,0.14
Gaia22dkvL b,,0.591 Jupiters,Unknown,2024,1.26 x Jupiter (estimate),Gas Giant,Microlensing,1.4 AU,1.5 years,
TOI-1798.02,,5.6 Earths,11.361,2024,,,,,,
HD 77946 b,,10.9 Earths,8.99,2024,0.258 x Jupiter,Neptune-like,Transit,0.073 AU,6.5 days,0.21
HD 6061 b,,10 Earths,8.844,2023,2.428 x Earth,Super Earth,Transit,0.06 AU,5.3 days,0.0
HD 135694 b,,6.1 Earths,9.08,2023,0.226 x Jupiter,Neptune-like,Transit,0.12 AU,15.9 days,0.0
TOI-757 b,,10.5 Earths,9.743,2024,2.5 x Earth,Super Earth,Transit,0.122 AU,17.5 days,0.39
HD 25463 c,,4.3 Earths,6.91134,2023,1.364 x Earth,Super Earth,Transit,0.0443 AU,3 days,0.0
HD 25463 b,,8.7 Earths,6.91134,2023,,,,,,
HIP 8152 c,,10.7 Earths,10.07,2023,2.524 x Earth,Super Earth,Transit,0.139 AU,19.6 days,0.2
HIP 8152 b,,8.9 Earths,10.07,2023,0.226 x Jupiter,Neptune-like,Transit,0.093 AU,10.8 days,0.0
WASP-156 b,,0.13152 Jupiters,11.559,2017,,,,,,
TOI-1410 c,,27 Earths,11.111,2024,0.502 x Jupiter (estimate),Neptune-like,Radial Velocity,0.239 AU,47.6 days,0.0
TOI-1294 c,,0.46251 Jupiters,11.314,2024,,,,,,
TIC 46432937 b,,3.2 Jupiters,14.268,2024,1.188 x Jupiter,Gas Giant,Transit,0.02065 AU,1.4 days,< 0.009
TIC 241249530 b,,4.98 Jupiters,11.908,2024,,,,,,
TOI-3261 b,,30.3 Earths,13.261,2024,0.341 x Jupiter,Neptune-like,Transit,0.01714 AU,0.9 days,0.0
TOI-2128 b,,4.5 Earths,7.22142,2024,2.089 x Earth,Neptune-like,Transit,0.127 AU,16.3 days,0.0
TOI-2088 b,,37 Earths,11.638,2024,0.329 x Jupiter,Neptune-like,Transit,0.472 AU,124.7 days,0.0
TOI-1836 c,,8 Earths,9.765,2024,0.232 x Jupiter,Neptune-like,Transit,0.03089 AU,1.8 days,0.0
TOI-1836 b,,24.7 Earths,9.765,2024,0.739 x Jupiter,Neptune-like,Transit,0.157 AU,20.4 days,0.0
TOI-1824 b,,16 Earths,9.721,2024,2.744 x Earth,Super Earth,Transit,0.151 AU,22.8 days,0.0
TOI-1799 b,,4 Earths,8.98,2024,1.422 x Earth,Super Earth,Transit,0.071 AU,7.1 days,0.0
TOI-1794 b,,8.7 Earths,10.32,2024,0.294 x Jupiter,Neptune-like,Transit,0.082 AU,8.8 days,0.0
TOI-1776 b,,1.4 Earths,8.26,2024,1.216 x Earth,Super Earth,Transit,0.0378 AU,2.8 days,0.0
TOI-1775 b,,0.30205 Jupiters,11.648,2024,0.718 x Jupiter,Gas Giant,Transit,0.08 AU,10.2 days,0.0
TOI-1758 b,,6.9 Earths,10.794,2024,0.317 x Jupiter,Neptune-like,Transit,0.138 AU,20.7 days,0.0
