Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
KMT-2019-BLG-0842L b,,10.28 Earths,,2020,0.284 x Jupiter (estimate),Neptune-like,Microlensing,3.31 AU,6.9 years,
TOI-421 c,,14.1 Earths,,2020,0.454 x Jupiter,Neptune-like,Transit,0.117 AU,16.1 days,0.19
TOI-421 b,,6.7 Earths,,2020,0.236 x Jupiter,Neptune-like,Transit,0.0554 AU,5.2 days,0.13
TOI-1266 c,,2.88 Earths,,2020,2.13 x Earth,Neptune-like,Transit,0.1047 AU,18.8 days,< 0.34
TOI-1266 b,,,,,,,,,,
KMT-2018-BLG-0748L b,,0.19 Jupiters,,2020,0.804 x Jupiter (estimate),Gas Giant,Microlensing,0.62 AU,1.6 years,
TOI-824 b,,18.467 Earths,,2020,2.926 x Earth,Super Earth,Transit,0.02177 AU,1.4 days,
TOI-763 c,,9.32 Earths,,2020,0.235 x Jupiter,Neptune-like,Transit,0.1011 AU,12.3 days,0.04
TOI-763 b,,9.79 Earths,,2020,2.28 x Earth,Super Earth,Transit,0.06 AU,5.6 days,0.04
LTT 9779 b,,29.32 Earths,,2020,0.421 x Jupiter,Neptune-like,Transit,0.01679 AU,0.8 days,0.0
HD 63433 c,,,,,,,,,,
HD 63433 b,,37.3 Earths,,2020,2.164 x Earth,Super Earth,Transit,0.072 AU,7.1 days,0.0
HATS-71 b,,0.37 Jupiters,,2020,1.024 x Jupiter,Gas Giant,Transit,0.03745 AU,3.8 days,0.0
GJ 9066 c,,0.21 Jupiters,,2020,0.856 x Jupiter (estimate),Gas Giant,Radial Velocity,0.88 AU,2.1 years,0.46
WD 1856+534 b,,13.8 Jupiters,,2020,0.928 x Jupiter,Gas Giant,Transit,0.0204 AU,1.4 days,0.0
Kepler-1702 b,,3.2 Earths,,2020,1.602 x Earth,Super Earth,Transit,0.1275 AU,18.5 days,0.0
Kepler-1701 b,,5.57 Earths,,2020,2.222 x Earth,Neptune-like,Transit,0.5608 AU,169.1 days,0.0
Kepler-1700 b,,8.76 Earths,,2020,0.259 x Jupiter,Neptune-like,Transit,0.7576 AU,234.2 days,0.0
Kepler-1699 b,,3.08 Earths,,2020,1.567 x Earth,Super Earth,Transit,0.0418 AU,3.5 days,0.0
Kepler-1698 b,,1.25 Earths,,2020,1.073 x Earth,Super Earth,Transit,0.0203 AU,1.2 days,0.0
Kepler-1697 b,,2.12 Earths,,2020,1.26 x Earth,Super Earth,Transit,0.2008 AU,33.5 days,0.0
Kepler-1696 b,,8.29 Earths,,2020,0.251 x Jupiter,Neptune-like,Transit,0.3244 AU,65.9 days,0.0
Kepler-1695 b,,1.46 Earths,,2020,1.119 x Earth,Super Earth,Transit,0.0529 AU,4.7 days,0.0
Kepler-1514 c,,1.74 Earths,,2020,1.176 x Earth,Super Earth,Transit,0.0997 AU,10.5 days,0.32
Kepler-783 c,,6.04 Earths,,2020,0.208 x Jupiter,Neptune-like,Transit,0.0684 AU,7.1 days,0.0
Kepler-385 d,,7.36 Earths,,2020,0.234 x Jupiter,Neptune-like,Transit,0.3024 AU,56.4 days,0.0
Kepler-305 e,,3.87 Earths,,2020,1.794 x Earth,Super Earth,Transit,0.0399 AU,3.2 days,0.0
Kepler-1694 b,,1.76 Earths,,2020,1.18 x Earth,Super Earth,Transit,0.0449 AU,3.9 days,0.0
Kepler-1693 b,,2.21 Earths,,2020,1.289 x Earth,Super Earth,Transit,0.1011 AU,12.1 days,0.0
Kepler-1692 b,,1.42 Earths,,2020,1.112 x Earth,Super Earth,Transit,0.0646 AU,6 days,0.0
Kepler-1691 b,,4.02 Earths,,2020,1.835 x Earth,Super Earth,Transit,0.0495 AU,3.8 days,0.0
Kepler-1690 b,,8.3 Earths,,2020,0.251 x Jupiter,Neptune-like,Transit,0.7097 AU,234.6 days,0.0
Kepler-1689 b,,0.799 Earths,,2020,0.947 x Earth,Terrestrial,Transit,0.0798 AU,8.5 days,0.0
Kepler-1688 b,,2.13 Earths,,2020,1.262 x Earth,Super Earth,Transit,0.0577 AU,5.6 days,0.0
Kepler-1687 b,,3.38 Earths,,2020,1.656 x Earth,Super Earth,Transit,0.0532 AU,5.8 days,0.0
Kepler-1686 b,,2.62 Earths,,2020,1.426 x Earth,Super Earth,Transit,0.0866 AU,9.3 days,0.0
Kepler-1685 b,,7.16 Earths,,2020,0.23 x Jupiter,Neptune-like,Transit,0.1485 AU,20.5 days,0.0
Kepler-1684 b,,8.6 Earths,,2020,0.256 x Jupiter,Neptune-like,Transit,0.2253 AU,47.7 days,0.0
Kepler-1683 b,,4.17 Earths,,2020,1.875 x Earth,Super Earth,Transit,0.1182 AU,15 days,0.0
Kepler-1682 b,,8.7 Earths,,2020,0.258 x Jupiter,Neptune-like,Transit,0.1134 AU,14.8 days,0.0
Kepler-1681 b,,7.05 Earths,,2020,0.228 x Jupiter,Neptune-like,Transit,0.32 AU,69.9 days,0.0
Kepler-1680 b,,2.42 Earths,,2020,1.36 x Earth,Super Earth,Transit,0.0784 AU,8.8 days,0.0
Kepler-1679 b,,4.93 Earths,,2020,2.069 x Earth,Super Earth,Transit,0.0892 AU,9.8 days,0.0
Kepler-1678 b,,10.9 Earths,,2020,0.295 x Jupiter,Neptune-like,Transit,0.5302 AU,148 days,0.0
Kepler-1677 b,,7.76 Earths,,2020,0.241 x Jupiter,Neptune-like,Transit,0.1624 AU,22.1 days,0.0
Kepler-1676 b,,11.3 Earths,,2020,0.301 x Jupiter,Neptune-like,Transit,0.1954 AU,29.9 days,0.0
Kepler-1675 b,,9.93 Earths,,2020,0.279 x Jupiter,Neptune-like,Transit,0.3076 AU,63 days,0.0
Kepler-1674 b,,10.4 Earths,,2020,0.286 x Jupiter,Neptune-like,Transit,0.3017 AU,62.6 days,0.0
Kepler-1673 b,,,,,,,,,,
Kepler-1672 b,,9.11 Earths,,2020,0.265 x Jupiter,Neptune-like,Transit,0.5726 AU,150.9 days,0.0
Kepler-1671 b,,2.32 Earths,,2020,1.326 x Earth,Super Earth,Transit,0.0491 AU,4.2 days,0.0
Kepler-1670 b,,11.2 Earths,,2020,0.299 x Jupiter,Neptune-like,Transit,0.1528 AU,20.5 days,0.0
Kepler-1669 b,,8.15 Earths,,2020,0.248 x Jupiter,Neptune-like,Transit,0.0745 AU,9.5 days,0.0
Kepler-1668 b,,17.4 Earths,,2020,0.388 x Jupiter,Neptune-like,Transit,0.124 AU,15.4 days,0.0
Kepler-1667 b,,9.19 Earths,,2020,0.266 x Jupiter,Neptune-like,Transit,0.4256 AU,83.6 days,0.0
Kepler-1666 c,,10.5 Earths,,2020,0.289 x Jupiter,Neptune-like,Transit,0.2383 AU,40.7 days,0.0
Kepler-1085 c,,10.7 Earths,,2020,0.292 x Jupiter,Neptune-like,Transit,0.3002 AU,56.8 days,0.0
Kepler-1001 c,,3.11 Earths,,2020,1.578 x Earth,Super Earth,Transit,0.084 AU,9.2 days,0.0
Kepler-716 c,,2.52 Earths,,2020,1.393 x Earth,Super Earth,Transit,0.046 AU,4 days,0.0
Kepler-647 c,,15.1 Earths,,2020,0.357 x Jupiter,Neptune-like,Transit,0.1827 AU,29.7 days,0.0
Kepler-598 c,,9.4 Earths,,2020,0.27 x Jupiter,Neptune-like,Transit,0.3576 AU,86.5 days,0.0
Kepler-1666 b,,8.66 Earths,,2020,0.257 x Jupiter,Neptune-like,Transit,0.1761 AU,25.8 days,0.0
Kepler-1665 b,,8.44 Earths,,2020,0.253 x Jupiter,Neptune-like,Transit,0.1006 AU,12 days,0.0
Kepler-1664 b,,9.45 Earths,,2020,0.271 x Jupiter,Neptune-like,Transit,0.1137 AU,14.4 days,0.0
Kepler-1663 b,,10.9 Earths,,2020,0.295 x Jupiter,Neptune-like,Transit,0.1072 AU,17.6 days,0.0
K2-326 b,,5.82 Earths,,2020,0.203 x Jupiter,Neptune-like,Transit,0.0198 AU,1.3 days,
K2-325 b,,5.48 Earths,,2020,2.2 x Earth,Neptune-like,Transit,0.0419 AU,6.9 days,
K2-324 b,,6.48 Earths,,2020,0.217 x Jupiter,Neptune-like,Transit,0.0331 AU,3.3 days,
K2-323 b,,5.06 Earths,,2020,2.1 x Earth,Neptune-like,Transit,0.1275 AU,24.9 days,
K2-322 b,,4.35 Earths,,2020,1.92 x Earth,Super Earth,Transit,0.0594 AU,8.2 days,
K2-321 b,,4.46 Earths,,2020,1.95 x Earth,Super Earth,Transit,0.041 AU,2.3 days,
K2-320 b,,7.37 Earths,,2020,0.234 x Jupiter,Neptune-like,Transit,0.0142 AU,2 days,
K2-319 b,,8.2 Earths,,2020,0.249 x Jupiter,Neptune-like,Transit,0.1516 AU,26.7 days,
K2-318 b,,3.39 Earths,,2020,1.66 x Earth,Super Earth,Transit,0.0911 AU,7 days,
K2-317 b,,8.91 Earths,,2020,0.261 x Jupiter,Neptune-like,Transit,0.0542 AU,6.2 days,
