Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
Kepler-1062 b,397.455,3.75 Earths,15.095,2016,1.76 x Earth,Super Earth,Transit,0.0748 AU,9.3 days,0.0
Kepler-1057 b,1201.82,11.2 Earths,15.825,2016,0.3 x Jupiter,Neptune-like,Transit,0.1138 AU,14.1 days,0.0
Kepler-1052 b,943.444,8.91 Earths,14.932,2016,0.261 x Jupiter,Neptune-like,Transit,0.2046 AU,34.9 days,0.0
Kepler-1049 b,162.006,0.809 Earths,14.695,2016,0.95 x Earth,Terrestrial,Transit,0.0349 AU,3.3 days,0.0
Kepler-1045 b,942.485,7.7 Earths,15.879,2016,0.24 x Jupiter,Neptune-like,Transit,0.1616 AU,26.4 days,0.0
Kepler-1040 b,482.119,4.98 Earths,13.614,2016,2.08 x Earth,Super Earth,Transit,0.6559 AU,201.1 days,0.0
Kepler-1036 b,489.435,9.32 Earths,13.87,2016,0.269 x Jupiter,Neptune-like,Transit,0.4629 AU,122.9 days,0.0
Kepler-1032 b,673.01,4.16 Earths,16.007,2016,1.87 x Earth,Super Earth,Transit,0.0361 AU,3.3 days,0.0
Kepler-1027 b,405.104,0.64 Earths,12.994,2016,0.89 x Earth,Terrestrial,Transit,0.0295 AU,1.9 days,0.0
Kepler-997 b,467.568,2.42 Earths,11.521,2016,1.36 x Earth,Super Earth,Transit,0.0397 AU,2.7 days,0.0
Kepler-992 b,259.639,3.26 Earths,13.557,2016,1.62 x Earth,Super Earth,Transit,0.1339 AU,20.2 days,0.0
Kepler-988 b,304.889,4.94 Earths,15.578,2016,2.07 x Earth,Super Earth,Transit,0.1085 AU,17.8 days,0.0
Kepler-983 b,714.437,6.17 Earths,14.1125,2016,0.211 x Jupiter,Neptune-like,Transit,0.3148 AU,60.1 days,0.0
Kepler-979 b,576.503,7.85 Earths,14.882,2016,0.243 x Jupiter,Neptune-like,Transit,0.0753 AU,8.1 days,0.0
Kepler-974 b,134.311,3.09 Earths,15.295,2016,1.57 x Earth,Super Earth,Transit,0.0419 AU,4.2 days,0.0
Kepler-969 c,390.354,0.937 Earths,13.865,2016,0.99 x Earth,Terrestrial,Transit,0.0272 AU,1.7 days,0.0
Kepler-967 c,568.546,12.9 Earths,14.702,2016,0.326 x Jupiter,Neptune-like,Transit,0.6253 AU,198.7 days,0.0
Kepler-966 b,1027.8,16 Earths,14.731,2016,0.368 x Jupiter,Neptune-like,Transit,0.3907 AU,99.7 days,0.0
Kepler-965 b,582.828,11.4 Earths,13.488,2016,0.302 x Jupiter,Neptune-like,Transit,0.512 AU,134.3 days,0.0
Kepler-964 b,454.626,5.14 Earths,14.061,2016,,,,,,
Kepler-963 b,771.494,7.56 Earths,15.091,2016,0.237 x Jupiter,Neptune-like,Transit,0.0849 AU,10 days,0.0
Kepler-962 b,411.486,4.54 Earths,13.68,2016,1.97 x Earth,Super Earth,Transit,0.0984 AU,12.1 days,0.0
Kepler-961 b,574.314,7.04 Earths,14.204,2016,0.227 x Jupiter,Neptune-like,Transit,0.1245 AU,16.9 days,0.0
Kepler-960 b,284.916,5.86 Earths,14.127,2016,0.204 x Jupiter,Neptune-like,Transit,0.0414 AU,3.1 days,0.0
Kepler-959 b,807.729,17.6 Earths,12.606,2016,0.391 x Jupiter,Neptune-like,Transit,0.1633 AU,14.8 days,0.0
Kepler-958 b,449.773,4.9 Earths,13.91,2016,2.06 x Earth,Super Earth,Transit,0.0852 AU,9.8 days,0.0
Kepler-957 b,824.688,25.9 Earths,15.833,2016,0.491 x Jupiter,Neptune-like,Transit,0.0559 AU,5.9 days,0.0
Kepler-956 b,544.939,9.27 Earths,13.387,2016,0.268 x Jupiter,Neptune-like,Transit,0.0596 AU,5.2 days,0.0
Kepler-955 b,550.383,9.96 Earths,14.734,2016,0.279 x Jupiter,Neptune-like,Transit,0.1083 AU,14.5 days,0.0
Kepler-954 b,215.814,5.99 Earths,13.095,2016,0.207 x Jupiter,Neptune-like,Transit,0.118 AU,16.8 days,0.0
Kepler-551 b,311.175,7.9 Earths,15.278,2016,0.244 x Jupiter,Neptune-like,Transit,0.0893 AU,12.4 days,0.0
Kepler-547 b,378.972,15.1 Earths,14.48,2016,0.357 x Jupiter,Neptune-like,Transit,0.058 AU,6 days,0.0
Kepler-542 b,436.016,3.09 Earths,13.606,2016,1.57 x Earth,Super Earth,Transit,0.1038 AU,13.1 days,0.0
Kepler-538 b,155.956,12.9 Earths,11.27,2016,2.215 x Earth,Super Earth,Transit,0.3554 AU,81.7 days,< 0.21
Kepler-533 b,302.955,11.4 Earths,14.128,2016,,,,,,
Kepler-495 b,658.924,23.8 Earths,14.942,2016,0.467 x Jupiter,Neptune-like,Transit,0.0427 AU,3.4 days,0.0
