Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
Kepler-150 d,891.092,8.2 Earths,15.161,2014,0.249 x Jupiter,Neptune-like,Transit,0.104 AU,12.6 days,0
Kepler-150 b,891.092,2.1 Earths,15.161,2014,1.25 x Earth,Super Earth,Transit,0.044 AU,3.4 days,0
Kepler-149 d,571.034,14.9 Earths,14.152,2014,0.353 x Jupiter,Neptune-like,Transit,0.571 AU,160 days,0
Kepler-149 c,571.034,3.22 Earths,14.152,2014,1.61 x Earth,Super Earth,Transit,0.281 AU,55.3 days,0
Kepler-149 b,571.034,16.5 Earths,14.152,2014,0.376 x Jupiter,Neptune-like,Transit,0.184 AU,29.2 days,0
Kepler-148 c,791.163,12.6 Earths,15.398,2014,0.321 x Jupiter,Neptune-like,Transit,0.05 AU,4.2 days,0
Kepler-148 b,791.163,3.89 Earths,15.398,2014,1.8 x Earth,Super Earth,Transit,0.028 AU,1.7 days,0
Kepler-147 c,1042.02,6.48 Earths,14.134,2014,0.217 x Jupiter,Neptune-like,Transit,0.216 AU,33.4 days,0
Kepler-147 b,1042.02,2.96 Earths,14.134,2014,1.53 x Earth,Super Earth,Transit,0.113 AU,12.6 days,0
Kepler-146 c,716.797,9.96 Earths,13.921,2014,0.279 x Jupiter,Neptune-like,Transit,0.364 AU,76.7 days,0
Kepler-146 b,716.797,13.3 Earths,13.921,2014,0.331 x Jupiter,Neptune-like,Transit,0.2 AU,31.2 days,0
Kepler-145 c,566.85,0.25 Jupiters,11.977,2013,0.385 x Jupiter,Gas Giant,Transit,0.262351 AU,42.9 days,0.11
Kepler-145 b,566.85,37.1 Earths,11.977,2013,0.236 x Jupiter,Neptune-like,Transit,0.172939 AU,23 days,0.43
Kepler-144 c,384.917,2.39 Earths,12.195,2014,1.35 x Earth,Super Earth,Transit,0.094 AU,10.1 days,0
Kepler-144 b,384.917,2.33 Earths,12.195,2014,1.33 x Earth,Super Earth,Transit,0.066 AU,5.9 days,0
Kepler-143 c,809.467,11.3 Earths,13.882,2014,0.301 x Jupiter,Neptune-like,Transit,0.181 AU,27.1 days,0
Kepler-143 b,809.467,6.39 Earths,13.882,2014,0.215 x Jupiter,Neptune-like,Transit,0.127 AU,16 days,0
Kepler-142 d,548.686,5.31 Earths,13.277,2014,2.16 x Earth,Neptune-like,Transit,0.242 AU,41.8 days,0
Kepler-142 c,548.686,8.55 Earths,13.277,2014,0.255 x Jupiter,Neptune-like,Transit,0.057 AU,4.8 days,0
Kepler-141 c,301.183,2.57 Earths,13.624,2014,1.41 x Earth,Super Earth,Transit,0.067 AU,7 days,0
Kepler-141 b,301.183,0.257 Earths,13.624,2014,0.69 x Earth,Terrestrial,Transit,0.039 AU,3.1 days,0
Kepler-140 c,583.859,3.89 Earths,13.018,2014,1.8 x Earth,Super Earth,Transit,0.414 AU,91.4 days,0
Kepler-139 c,391.038,23.2558 Earths,12.775,2014,0.302 x Jupiter,Neptune-like,Transit,0.586 AU,157.1 days,0
Kepler-139 b,391.038,5.2879 Earths,12.775,2014,0.262 x Jupiter,Neptune-like,Transit,0.127 AU,15.8 days,0
Kepler-138 d,66.8624,2.1 Earths,13.04,2014,1.51 x Earth,Super Earth,Transit,0.1288 AU,23.1 days,0.01
Kepler-138 b,66.8624,0.07 Earths,13.04,2014,0.64 x Earth,Terrestrial,Transit,0.0753 AU,10.3 days,0.02
Kepler-137 c,302.979,4.19 Earths,13.063,2014,1.88 x Earth,Super Earth,Transit,0.13 AU,18.7 days,0
Kepler-137 b,302.979,2.76 Earths,13.063,2014,1.47 x Earth,Super Earth,Transit,0.077 AU,8.4 days,0
Kepler-136 b,420.818,19.8 Earths,11.822,2014,2.05 x Earth,Super Earth,Transit,0.106 AU,11.6 days,0
Kepler-135 c,621.855,1.65 Earths,12.794,2014,1.16 x Earth,Super Earth,Transit,0.103 AU,11.4 days,0
Kepler-135 b,621.855,3.93 Earths,12.794,2014,1.81 x Earth,Super Earth,Transit,0.067 AU,6 days,0
Kepler-134 b,334.797,4.66 Earths,12.318,2014,2.0 x Earth,Super Earth,Transit,0.06 AU,5.3 days,0
Kepler-133 c,653.6,8.45 Earths,12.896,2014,0.253 x Jupiter,Neptune-like,Transit,0.204 AU,31.5 days,0
Kepler-133 b,653.6,3.75 Earths,12.896,2014,1.76 x Earth,Super Earth,Transit,0.083 AU,8.1 days,0
Kepler-132 d,349.549,3.02 Earths,11.922,2014,1.55 x Earth,Super Earth,Transit,0.136 AU,18 days,0
Kepler-132 b,349.549,1.92 Earths,11.922,2014,1.21 x Earth,Super Earth,Transit,0.067 AU,6.2 days,0
Kepler-131 b,228.678,16.13 Earths,11.493,2014,2.41 x Earth,Super Earth,Transit,0.127825 AU,16.1 days,0
Kepler-130 d,316.663,3.33 Earths,11.572,2014,1.64 x Earth,Super Earth,Transit,0.377 AU,87.5 days,0.8
Kepler-130 b,316.663,1.04 Earths,11.572,2014,1.02 x Earth,Super Earth,Transit,0.079 AU,8.5 days,0.15
Kepler-129 c,408.845,0.13529 Jupiters,11.809,2014,0.225 x Jupiter,Gas Giant,Transit,0.39 AU,82.2 days,0.2
Kepler-129 b,408.845,20 Earths,11.809,2014,2.4 x Earth,Super Earth,Transit,0.13 AU,15.8 days,0.01
Kepler-128 b,396.379,3.79 Earths,11.693,2013,1.421 x Earth,Super Earth,Transit,0.125387 AU,15 days,0
Kepler-127 d,352.794,7.46 Earths,11.746,2014,0.236 x Jupiter,Neptune-like,Transit,0.28 AU,48.6 days,0.03
Kepler-127 c,352.794,7.56 Earths,11.746,2014,0.237 x Jupiter,Neptune-like,Transit,0.2 AU,29.4 days,0.03
Kepler-126 d,237.401,0.17176 Jupiters,10.505,2014,0.223 x Jupiter,Gas Giant,Transit,0.448 AU,100.3 days,0.02
Kepler-79 e,1020.72,4.1 Earths,14.036,2014,0.311 x Jupiter,Neptune-like,Transit,0.386 AU,81.1 days,0
Kepler-79 c,1020.72,5.9 Earths,14.036,2012,0.332 x Jupiter,Neptune-like,Transit,0.187 AU,27.4 days,0.03
Kepler-79 b,1020.72,10.9 Earths,14.036,2012,0.31 x Jupiter,Neptune-like,Transit,0.117 AU,13.5 days,0.01
Kepler-78 b,124.376,1.68 Earths,11.717,2013,1.201 x Earth,Super Earth,Transit,0.00901 AU,0.4 days,0
Kepler-76 b,822.96,2.01 Jupiters,13.474,2013,1.36 x Jupiter,Gas Giant,Orbital Brightness Modulation,0.0274 AU,1.5 days,0
Kepler-75 b,835.356,10.1 Jupiters,15.414,2013,1.05 x Jupiter,Gas Giant,Transit,0.0818 AU,8.9 days,0.57
Kepler-126 c,237.401,1.27942 Earths,10.505,2014,1.58 x Earth,Super Earth,Transit,0.162 AU,21.9 days,0.19
Kepler-126 b,237.401,4.11726 Earths,10.505,2014,1.52 x Earth,Super Earth,Transit,0.099 AU,10.5 days,0.07
Kepler-125 b,183.365,6.21 Earths,15.431,2014,0.211 x Jupiter,Neptune-like,Transit,0.041 AU,4.2 days,0
Kepler-124 d,420.046,1.41 Earths,14.4,2014,1.11 x Earth,Super Earth,Transit,0.17 AU,31 days,0
Kepler-124 c,420.046,3.71 Earths,14.4,2014,1.75 x Earth,Super Earth,Transit,0.1 AU,13.8 days,0
Kepler-123 c,1021.66,2.79 Earths,14.129,2014,1.48 x Earth,Super Earth,Transit,0.181 AU,26.7 days,0
Kepler-123 b,1021.66,0.174 Jupiters,14.129,2014,0.262 x Jupiter,Gas Giant,Transit,0.135 AU,17.2 days,0
Kepler-122 f,1027.45,36 Earths,14.403,2014,1.75 x Earth,Super Earth,Transit Timing Variations,0.287 AU,56.3 days,0
Kepler-122 e,1027.45,27.7 Earths,14.403,2014,0.232 x Jupiter,Neptune-like,Transit,0.227 AU,38 days,0
Kepler-122 c,1027.45,29 Earths,14.403,2014,0.524 x Jupiter,Neptune-like,Transit,0.108 AU,12.5 days,0
Kepler-122 b,1027.45,6.08 Earths,14.403,2014,0.209 x Jupiter,Neptune-like,Transit,0.064 AU,5.8 days,0
Kepler-121 c,510.523,5.77 Earths,14.904,2014,0.203 x Jupiter,Neptune-like,Transit,0.216 AU,41 days,0
Kepler-120 c,388.63,2.96 Earths,14.995,2014,1.53 x Earth,Super Earth,Transit,0.088 AU,12.8 days,0
Kepler-120 b,388.63,8.5 Earths,14.995,2014,2.15 x Earth,Super Earth,Transit,0.055 AU,6.3 days,0
Kepler-119 c,701.996,0.721 Earths,14.375,2014,0.92 x Earth,Terrestrial,Transit,0.049 AU,4.1 days,0
Kepler-118 c,574.228,0.144 Jupiters,14.867,2014,0.685 x Jupiter,Gas Giant,Transit,0.141 AU,20.2 days,0
Kepler-118 b,574.228,4.5 Earths,14.867,2014,1.96 x Earth,Super Earth,Transit,0.073 AU,7.5 days,0
Kepler-117 c,1455.57,1.84 Jupiters,14.282,2014,1.101 x Jupiter,Gas Giant,Transit,0.2804 AU,50.8 days,0.03
Kepler-117 b,1455.57,29.875 Earths,14.282,2014,0.719 x Jupiter,Neptune-like,Transit,0.1445 AU,18.8 days,0.05
Kepler-116 b,955.168,11.6 Earths,13.744,2014,0.305 x Jupiter,Neptune-like,Transit,0.069 AU,6 days,0
Kepler-115 c,623.609,7.27 Earths,13.545,2014,0.232 x Jupiter,Neptune-like,Transit,0.087 AU,9 days,0
Kepler-115 b,623.609,1.32 Earths,13.545,2014,1.09 x Earth,Super Earth,Transit,0.036 AU,2.4 days,0
Kepler-111 b,657.223,3.12 Earths,13.543,2014,1.58 x Earth,Super Earth,Transit,0.046 AU,3.3 days,0
Kepler-110 b,586.531,4.01 Earths,13.003,2014,1.83 x Earth,Super Earth,Transit,0.107 AU,12.7 days,0
Kepler-109 c,474.861,8.2 Earths,12.398,2014,0.236 x Jupiter,Neptune-like,Transit,0.1546 AU,21.2 days,< 0.098
Kepler-108 c,338.732,0.16 Jupiters,12.657,2014,0.73 x Jupiter,Gas Giant,Transit,0.721 AU,190.3 days,0.04
Kepler-108 b,338.732,0.176 Jupiters,12.657,2014,0.772 x Jupiter,Gas Giant,Transit,0.292 AU,49.2 days,0.22
Kepler-107 e,525.997,14.1 Earths,12.543,2014,2.903 x Earth,Super Earth,Transit,0.12638 AU,14.7 days,< 0.1
Kepler-107 c,525.997,10 Earths,12.543,2014,1.597 x Earth,Super Earth,Transit,0.06064 AU,4.9 days,< 0.08
Kepler-107 b,525.997,3.8 Earths,12.543,2014,1.536 x Earth,Super Earth,Transit,0.04544 AU,3.2 days,< 0.1
Kepler-106 d,444.322,8.1 Earths,12.923,2014,0.95 x Earth,Terrestrial,Transit,0.16049 AU,24 days,0
Kepler-106 c,444.322,10.44 Earths,12.923,2014,2.5 x Earth,Super Earth,Transit,0.109803 AU,13.6 days,0
Kepler-105 c,459.223,4.6 Earths,12.981,2014,1.31 x Earth,Super Earth,Transit,0.0711 AU,7.1 days,0
HAT-P-34 b,249.325,3.33 Jupiters,10.403,2011,1.197 x Jupiter,Gas Giant,Transit,0.06774 AU,5.5 days,0.43
HAT-P-33 b,396.11,0.92 Jupiters,11.032,2011,1.85 x Jupiter,Gas Giant,Transit,0.04995 AU,3.5 days,0
HAT-P-32 b,289.205,0.68 Jupiters,11.439,2011,1.98 x Jupiter,Gas Giant,Transit,0.03397 AU,2.2 days,0.16
HAT-P-31 b,344.05,2.27 Jupiters,11.667,2011,1.09 x Jupiter,Gas Giant,Transit,0.061 AU,5 days,0.25
HAT-P-30 b,213.985,0.83 Jupiters,10.352,2011,1.44 x Jupiter,Gas Giant,Transit,0.0419 AU,2.8 days,0.04
HAT-P-29 b,313.576,0.88 Jupiters,11.825,2011,1.17 x Jupiter,Gas Giant,Transit,0.0667 AU,5.7 days,0.09
HAT-P-28 b,401.319,0.626 Jupiters,13.098,2011,1.212 x Jupiter,Gas Giant,Transit,0.0434 AU,3.3 days,0
HAT-P-27 b,199.173,0.62 Jupiters,12.052,2011,1.02 x Jupiter,Gas Giant,Transit,0.04 AU,3 days,0
HAT-P-26 b,141.837,22.2481 Earths,11.757,2010,0.63 x Jupiter,Neptune-like,Transit,0.0479 AU,4.2 days,0.12
HAT-P-25 b,300.384,0.569 Jupiters,13.146,2010,1.135 x Jupiter,Gas Giant,Transit,0.0466 AU,3.7 days,0.02
HAT-P-24 b,415.344,0.75 Jupiters,11.762,2010,1.3 x Jupiter,Gas Giant,Transit,0.04651 AU,3.4 days,0.07
HAT-P-23 b,364.813,2.09 Jupiters,11.937,2010,1.368 x Jupiter,Gas Giant,Transit,0.0232 AU,1.2 days,0.11
PH2 b,343.863,0.274 Jupiters,12.645,2013,0.833 x Jupiter,Gas Giant,Transit,0.833 AU,282.5 days,0.21
KOI-94 e,477.052,35 Earths,12.314,2013,0.585 x Jupiter,Neptune-like,Transit,0.3046 AU,54.3 days,0.02
KOI-94 b,477.052,10.5 Earths,12.314,2013,1.71 x Earth,Super Earth,Transit,0.05119 AU,3.7 days,0.25
KOI-55 c,1231.02,0.655 Earths,15.154,2011,0.867 x Earth,Terrestrial,Orbital Brightness Modulation,0.0076 AU,0.3 days,
KOI-55 b,1231.02,0.44 Earths,15.154,2011,0.759 x Earth,Terrestrial,Orbital Brightness Modulation,0.006 AU,0.2 days,
KOI-217 b,914.699,Unknown,15.257,2010,1.11 x Jupiter,Gas Giant,Transit,0.0477 AU,3.9 days,0
KOI-142 c,376.863,0.674 Jupiters,13.209,2013,1.25 x Jupiter,Gas Giant,Transit Timing Variations,0.154121 AU,22.3 days,0.06
KOI-142 b,376.863,9.5 Earths,13.209,2013,0.307 x Jupiter,Neptune-like,Transit,0.095822 AU,10.9 days,0.06
Kepler-99 b,208.369,6.15 Earths,13.206,2014,1.48 x Earth,Super Earth,Transit,0.050692 AU,4.6 days,0
Kepler-97 c,400.907,1.08 Jupiters,12.994,2014,Unknown,Gas Giant,Radial Velocity,Unknown,2.2 years,
Kepler-96 b,122.881,8.46 Earths,10.568,2014,0.238 x Jupiter,Neptune-like,Transit,0.126039 AU,16.2 days,0
Kepler-95 b,445.656,13 Earths,12.382,2014,0.305 x Jupiter,Neptune-like,Transit,0.102279 AU,11.5 days,0
Kepler-94 b,191.904,10.84 Earths,13.071,2014,0.313 x Jupiter,Neptune-like,Transit,0.03106 AU,2.5 days,0
Kepler-93 c,95.9115,3 Jupiters,9.996,2014,Unknown,Gas Giant,Radial Velocity,Unknown,4 years,
Kepler-93 b,95.9115,4.66 Earths,9.996,2014,1.478 x Earth,Super Earth,Transit,0.05343 AU,4.7 days,0
Kepler-92 b,477.992,0.202 Jupiters,11.671,2013,0.313 x Jupiter,Gas Giant,Transit,0.122268 AU,13.7 days,0.17
Kepler-91 b,1294.69,0.81 Jupiters,12.712,2013,1.367 x Jupiter,Gas Giant,Transit,0.0731 AU,6.2 days,0.05
Kepler-87 c,1232.9,6.4 Earths,14.681,2013,0.548 x Jupiter,Neptune-like,Transit,0.676 AU,191.2 days,0.04
Kepler-85 e,765.025,0.6 Earths,14.89,2014,1.27 x Earth,Super Earth,Transit,0.163 AU,25.2 days,0
Kepler-85 d,765.025,1.87 Earths,14.89,2014,1.2 x Earth,Super Earth,Transit,0.13 AU,17.9 days,0
Kepler-85 c,765.025,2.15 Earths,14.89,2012,1.978 x Earth,Neptune-like,Transit,0.1007 AU,12.5 days,0.03
Kepler-84 f,1023.9,5.48 Earths,14.92,2014,2.2 x Earth,Neptune-like,Transit,0.25 AU,44.6 days,0
Kepler-84 e,1023.9,7.27 Earths,14.92,2014,0.232 x Jupiter,Neptune-like,Transit,0.181 AU,27.4 days,0
Kepler-84 d,1023.9,2.48 Earths,14.92,2014,1.38 x Earth,Super Earth,Transit,0.052 AU,4.2 days,0
Kepler-84 b,1023.9,40 Earths,14.92,2012,2.23 x Earth,Super Earth,Transit,0.0827 AU,8.7 days,0
Kepler-83 d,400.409,24.6 Earths,16.145,2014,1.94 x Earth,Super Earth,Transit,0.051 AU,5.2 days,0
Kepler-83 c,400.409,11.4 Earths,16.145,2012,2.36 x Earth,Super Earth,Transit,0.11796 AU,20.1 days,0
Kepler-82 e,904.326,6.66 Earths,15.131,2014,0.22 x Jupiter,Neptune-like,Transit,0.063 AU,5.9 days,0
Kepler-82 d,904.326,3.78 Earths,15.131,2014,1.77 x Earth,Super Earth,Transit,0.034 AU,2.4 days,0
Kepler-82 c,904.326,13.9 Earths,15.131,2012,0.476 x Jupiter,Neptune-like,Transit,0.2626 AU,51.5 days,0.01
Kepler-81 d,348.291,1.92 Earths,15.258,2014,1.21 x Earth,Super Earth,Transit,0.128 AU,20.8 days,0
Kepler-81 c,348.291,4.3 Earths,15.258,2012,0.211 x Jupiter,Neptune-like,Transit,0.08347 AU,12 days,0
Kepler-81 b,348.291,17.2 Earths,15.258,2012,2.42 x Earth,Super Earth,Transit,0.0522 AU,6 days,0
Kepler-74 b,1177.55,0.63 Jupiters,14.487,2013,0.96 x Jupiter,Gas Giant,Transit,0.0781 AU,7.3 days,0
Kepler-69 c,730.625,3.57 Earths,13.866,2013,1.71 x Earth,Super Earth,Transit,0.64 AU,242.5 days,0.14
Kepler-69 b,730.625,5.65 Earths,13.866,2013,2.24 x Earth,Neptune-like,Transit,0.094 AU,13.7 days,0.16
Kepler-68 c,144.166,1.3 Earths,10.077,2013,0.979 x Earth,Super Earth,Transit,0.09008 AU,9.6 days,< 0.099
Kepler-213 c,634.939,6.08 Earths,13.705,2014,0.209 x Jupiter,Neptune-like,Transit,0.057 AU,4.8 days,0
Kepler-213 b,634.939,3.26 Earths,13.705,2014,1.62 x Earth,Super Earth,Transit,0.036 AU,2.5 days,0
Kepler-212 b,687.194,1.32 Earths,13.129,2014,1.09 x Earth,Super Earth,Transit,0.133 AU,16.3 days,0
Kepler-211 c,309.353,18.3 Earths,13.448,2014,1.29 x Earth,Super Earth,Transit,0.062 AU,6 days,0
Kepler-211 b,309.353,2.13 Earths,13.448,2014,1.26 x Earth,Super Earth,Transit,0.048 AU,4.1 days,0
Kepler-210 b,232.75,8.96 Earths,14.126,2014,0.262 x Jupiter,Neptune-like,Transit,0.032 AU,2.5 days,0
Kepler-209 c,576.946,9.8 Earths,14.132,2014,0.277 x Jupiter,Neptune-like,Transit,0.231 AU,41.7 days,0
Kepler-105 b,459.223,5.1 Earths,12.981,2013,0.429 x Jupiter,Neptune-like,Transit,0.066 AU,5.4 days,0.47
Kepler-104 d,400.785,5.54022 Earths,12.697,2014,0.319 x Jupiter,Neptune-like,Transit,0.257 AU,51.8 days,0
Kepler-104 b,400.785,19.6 Earths,12.697,2014,3.1 x Earth,3.1 x Earth,Transit,0.094 AU,11.4 days,0
Kepler-103 c,494.832,38 Earths,11.883,2014,0.486 x Jupiter,Neptune-like,Transit,0.6639 AU,179.6 days,< 0.095
Kepler-102 f,107.796,4.3 Earths,12.072,2014,0.861 x Earth,Super Earth,Transit,0.1656 AU,27.5 days,< 0.1
Kepler-102 e,107.796,4.7 Earths,12.072,2013,2.17 x Earth,Neptune-like,Transit,0.1162 AU,16.1 days,< 0.089
Kepler-102 c,107.796,1.7 Earths,12.072,2014,0.567 x Earth,Super Earth,Transit,0.06702 AU,7.1 days,< 0.094
Kepler-102 b,107.796,1.1 Earths,12.072,2014,0.46 x Earth,Super Earth,Transit,0.05521 AU,5.3 days,< 0.1
Kepler-101 c,927.981,3.78 Earths,13.7,2014,1.25 x Earth,Super Earth,Transit,0.0684 AU,6 days,0
Kepler-100 d,304.645,3 Earths,11.055,2014,1.61 x Earth,Super Earth,Transit,0.217335 AU,35.3 days,0.38
